codi_carrer,numpost,llepost,tipusnum,districte,barri,secc_est,secc_cens,dist_post,x_ed50,y_ed50,x_etrs89,y_etrs89,longitud_wgs84,latitud_wgs84
49980.0,24,,,11,112,,1112,,,,729994.0590026032,4371942.807897202,-0.32647457906333854,39.466356078989044
30780.0,18,,,19,192,,1903,,,,726789.1424025978,4367755.618097231,-0.3651141642156448,39.429516992655486
7710.0,25,,,8,081,,0801,,,,724283.7160025992,4371647.078897205,-0.39288760218903707,39.46520079646188
39750.0,6,,,17,176,,1706,,,,723188.3850026063,4379919.209897155,-0.4028357669413793,39.539945463593625
1890.0,2,,,4,043,,0412,,,,724588.0640026026,4374070.743897191,-0.3885371087315575,39.486937449217926
61140.0,9,,,5,054,,0529,,,,725504.041002604,4374208.833897189,-0.37785004298294106,39.487940797351236
25680.0,243,,,11,111,,1104,,,,729074.0920026025,4371377.495897204,-0.3373517687962396,39.46151305333156
4260.0,9,,,17,173,,1703,,,,725857.1910026058,4376165.167897175,-0.3730845011344346,39.505457302676916
57870.0,47,,,19,192,,1905,,,,727248.0090025972,4367424.972897232,-0.35990063963514557,39.42641997448849
23910.0,25,,,7,074,,0737,,,,722918.3950025965,4371716.304897203,-0.40871993734451306,39.466178535490094
24360.0,293,,,11,112,,1119,,,,729875.5190026041,4372737.210897195,-0.3275774053112067,39.473538006551486
72690.0,10,,,3,033,,0326,,,,724295.3360026006,4372766.756897198,-0.3923762216258414,39.475276300358686
75780.0,22,,,10,102,,1013,,,,726229.8262026007,4370898.49779721,-0.37054165797834177,39.45795353445431
38430.0,30,,,2,023,,0242,,,,726532.1220026023,4371720.963897205,-0.36675241407527504,39.46527716986929
81167.0,5,,,8,081,,0818,,,,724485.1480025987,4370812.955897211,-0.39082894573216415,39.457640124843785
39180.0,40,,,9,095,,0939,,,,724670.8260025969,4368773.896897226,-0.3893588649266854,39.439237551587475
52590.0,36,,,11,112,,1112,,,,730238.0750026027,4371752.032897202,-0.32370677918267504,39.464573730252155
16480.0,15,,,19,192,,1903,,,,726325.9604025974,4367627.510897229,-0.3705335679691227,39.42848561169927
47010.0,19,,,11,115,,1144,,,,729604.0217026009,4369723.861497217,-0.3317670171997973,39.44648777860536
19860.0,8,,,11,112,,1128,,,,729367.1788026036,4372655.910497196,-0.33350907232386573,39.47294185431942
81769.0,30,,,10,103,,1025,,,,725476.6570025985,4370024.877897219,-0.37958213140693825,39.45028743554798
12660.0,35,,,1,011,,0102,,,,725468.2970026024,4372941.3388971975,-0.37869388268584636,39.476541245779934
5040.0,11,,,6,063,,0617,,,,726906.2710026039,4373473.1028971905,-0.3618115507768676,39.48094973533706
57420.0,62,,,16,161,,1615,,,,724485.4820026028,4374729.405897185,-0.3895069004690149,39.492892988825794
15480.0,17,,,14,141,,1415,,,,727162.8560026044,4373762.55589719,-0.3587326483545164,39.48348740465215
81309.0,6,,,11,111,,1154,,,,728998.8379026019,4371311.981597207,-0.33824807904897664,39.460943383258154
8580.0,10,,,1,016,,0131,,,,725882.1480026019,4372260.813897199,-0.3741176118445303,39.47030722001182
70320.0,5,,,18,181,,1803,,,,721856.9290025989,4375845.00889718,-0.41967301962618764,39.50361706890176
72420.0,12,,,11,112,,1111,,,,729700.1754026029,4371910.295497204,-0.329898488639911,39.466141902621494
67830.0,1,,,3,033,,0319,,,,724644.7270026009,4372651.545897199,-0.3883570114759715,39.47414812886336
