Provincias;Municipios;Secciones;Sexo;Edad;Periodo;Total
28 Madrid;28079 Madrid;2807903010 Madrid sección 03010;Total;Todas las edades;2025;1.034
28 Madrid;28079 Madrid;2807903011 Madrid sección 03011;Total;Todas las edades;2025;1.017
28 Madrid;28079 Madrid;2807903012 Madrid sección 03012;Total;Todas las edades;2025;1.025
28 Madrid;28079 Madrid;2807903013 Madrid sección 03013;Total;Todas las edades;2025;1.069
28 Madrid;28079 Madrid;2807903014 Madrid sección 03014;Total;Todas las edades;2025;1.296
28 Madrid;28079 Madrid;2807903015 Madrid sección 03015;Total;Todas las edades;2025;1.070
28 Madrid;28079 Madrid;2807903016 Madrid sección 03016;Total;Todas las edades;2025;812
28 Madrid;28079 Madrid;2807903017 Madrid sección 03017;Total;Todas las edades;2025;1.240
28 Madrid;28079 Madrid;2807903018 Madrid sección 03018;Total;Todas las edades;2025;1.891
28 Madrid;28079 Madrid;2807903019 Madrid sección 03019;Total;Todas las edades;2025;1.821
28 Madrid;28079 Madrid;2807903020 Madrid sección 03020;Total;Todas las edades;2025;1.442
28 Madrid;28079 Madrid;2807903021 Madrid sección 03021;Total;Todas las edades;2025;2.073
28 Madrid;28079 Madrid;2807903022 Madrid sección 03022;Total;Todas las edades;2025;1.081
28 Madrid;28079 Madrid;2807903023 Madrid sección 03023;Total;Todas las edades;2025;961
28 Madrid;28079 Madrid;2807903024 Madrid sección 03024;Total;Todas las edades;2025;1.203
28 Madrid;28079 Madrid;2807903025 Madrid sección 03025;Total;Todas las edades;2025;1.431
28 Madrid;28079 Madrid;2807903026 Madrid sección 03026;Total;Todas las edades;2025;1.782
28 Madrid;28079 Madrid;2807903027 Madrid sección 03027;Total;Todas las edades;2025;1.272
28 Madrid;28079 Madrid;2807903028 Madrid sección 03028;Total;Todas las edades;2025;1.480
28 Madrid;28079 Madrid;2807903029 Madrid sección 03029;Total;Todas las edades;2025;1.603
28 Madrid;28079 Madrid;2807903030 Madrid sección 03030;Total;Todas las edades;2025;786
28 Madrid;28079 Madrid;2807903031 Madrid sección 03031;Total;Todas las edades;2025;1.133
28 Madrid;28079 Madrid;2807903032 Madrid sección 03032;Total;Todas las edades;2025;1.135
28 Madrid;28079 Madrid;2807903033 Madrid sección 03033;Total;Todas las edades;2025;1.481
28 Madrid;28079 Madrid;2807903034 Madrid sección 03034;Total;Todas las edades;2025;1.414
28 Madrid;28079 Madrid;2807903035 Madrid sección 03035;Total;Todas las edades;2025;1.139
28 Madrid;28079 Madrid;2807903036 Madrid sección 03036;Total;Todas las edades;2025;899
28 Madrid;28079 Madrid;2807903037 Madrid sección 03037;Total;Todas las edades;2025;1.303
28 Madrid;28079 Madrid;2807903038 Madrid sección 03038;Total;Todas las edades;2025;990
28 Madrid;28079 Madrid;2807903039 Madrid sección 03039;Total;Todas las edades;2025;847
28 Madrid;28079 Madrid;2807903040 Madrid sección 03040;Total;Todas las edades;2025;786
28 Madrid;28079 Madrid;2807903041 Madrid sección 03041;Total;Todas las edades;2025;1.160
28 Madrid;28079 Madrid;2807903042 Madrid sección 03042;Total;Todas las edades;2025;1.115
28 Madrid;28079 Madrid;2807903044 Madrid sección 03044;Total;Todas las edades;2025;1.178
28 Madrid;28079 Madrid;2807903045 Madrid sección 03045;Total;Todas las edades;2025;1.018
28 Madrid;28079 Madrid;2807903046 Madrid sección 03046;Total;Todas las edades;2025;908
28 Madrid;28079 Madrid;2807903047 Madrid sección 03047;Total;Todas las edades;2025;1.693
28 Madrid;28079 Madrid;2807903048 Madrid sección 03048;Total;Todas las edades;2025;1.159
28 Madrid;28079 Madrid;2807903049 Madrid sección 03049;Total;Todas las edades;2025;1.807
28 Madrid;28079 Madrid;2807903050 Madrid sección 03050;Total;Todas las edades;2025;1.383
28 Madrid;28079 Madrid;2807903051 Madrid sección 03051;Total;Todas las edades;2025;1.078
28 Madrid;28079 Madrid;2807903052 Madrid sección 03052;Total;Todas las edades;2025;952
28 Madrid;28079 Madrid;2807903053 Madrid sección 03053;Total;Todas las edades;2025;1.446
28 Madrid;28079 Madrid;2807903054 Madrid sección 03054;Total;Todas las edades;2025;1.274
28 Madrid;28079 Madrid;2807903055 Madrid sección 03055;Total;Todas las edades;2025;989
28 Madrid;28079 Madrid;2807903056 Madrid sección 03056;Total;Todas las edades;2025;1.128
28 Madrid;28079 Madrid;2807903057 Madrid sección 03057;Total;Todas las edades;2025;1.132
28 Madrid;28079 Madrid;2807903058 Madrid sección 03058;Total;Todas las edades;2025;1.188
28 Madrid;28079 Madrid;2807903059 Madrid sección 03059;Total;Todas las edades;2025;1.135
28 Madrid;28079 Madrid;2807903060 Madrid sección 03060;Total;Todas las edades;2025;746
28 Madrid;28079 Madrid;2807903061 Madrid sección 03061;Total;Todas las edades;2025;878
28 Madrid;28079 Madrid;2807903063 Madrid sección 03063;Total;Todas las edades;2025;792
28 Madrid;28079 Madrid;2807903064 Madrid sección 03064;Total;Todas las edades;2025;957
28 Madrid;28079 Madrid;2807903065 Madrid sección 03065;Total;Todas las edades;2025;1.499
28 Madrid;28079 Madrid;2807903066 Madrid sección 03066;Total;Todas las edades;2025;882
28 Madrid;28079 Madrid;2807903067 Madrid sección 03067;Total;Todas las edades;2025;1.193
28 Madrid;28079 Madrid;2807903069 Madrid sección 03069;Total;Todas las edades;2025;1.664
28 Madrid;28079 Madrid;2807903070 Madrid sección 03070;Total;Todas las edades;2025;""
28 Madrid;28079 Madrid;2807903071 Madrid sección 03071;Total;Todas las edades;2025;1.369
28 Madrid;28079 Madrid;2807903073 Madrid sección 03073;Total;Todas las edades;2025;1.648
28 Madrid;28079 Madrid;2807903074 Madrid sección 03074;Total;Todas las edades;2025;1.121
28 Madrid;28079 Madrid;2807903076 Madrid sección 03076;Total;Todas las edades;2025;1.025
28 Madrid;28079 Madrid;2807903077 Madrid sección 03077;Total;Todas las edades;2025;1.606
28 Madrid;28079 Madrid;2807903078 Madrid sección 03078;Total;Todas las edades;2025;1.489
28 Madrid;28079 Madrid;2807903079 Madrid sección 03079;Total;Todas las edades;2025;1.256
28 Madrid;28079 Madrid;2807903080 Madrid sección 03080;Total;Todas las edades;2025;1.786
